ID,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P95,P96
0,0.0272,0.0179,0.018,0.0162,0.0186,0.0158,0.0167,0.0165,0.016,0.0192,0.0257,0.0253,0.0258,0.0168,0.0238,0.0155,0.0158,0.0166,0.0213,0.0152,0.0158,0.016,0.0172,0.0256,0.0253,0.0259,0.022,0.0152,0.0188,0.0313,0.0307,0.0314,0.0283,0.0596,0.0468,0.0549,0.063,0.1204,0.1378,0.1295,0.1706,0.1935,0.1896,0.2101,0.198,0.1819,0.1456,0.1197,0.1008,0.0603,0.0754,0.0852,0.1068,0.0954,0.0809,0.0907,0.0808,0.0904,0.0814,0.0887,0.0968,0.1313,0.1207,0.1011,0.0976,0.1207,0.1367,0.1676,0.1767,0.1638,0.1438,0.1238,0.1448,0.1126,0.1027,0.0877,0.0975,0.1528,0.1104,0.1316,0.0785,0.094,0.0743,0.0826,0.0564,0.0617,0.0369,0.0385,0.0336,0.023,0.0223,0.0236,0.0252,0.0154,0.0156,0.0244
1,0.0236,0.0269,0.0241,0.0154,0.0156,0.0195,0.0166,0.0155,0.0148,0.0152,0.0159,0.0188,0.016,0.0156,0.0244,0.0289,0.0276,0.026,0.0148,0.0146,0.014,0.0165,0.0138,0.0138,0.0151,0.0146,0.0175,0.0211,0.0131,0.0286,0.0294,0.032,0.0353,0.0446,0.036,0.0396,0.057,0.1,0.1393,0.144,0.1446,0.1497,0.1111,0.1251,0.1286,0.1382,0.1509,0.1284,0.077,0.1142,0.0867,0.1019,0.085,0.0993,0.1056,0.0946,0.1201,0.1031,0.1206,0.1844,0.1366,0.1131,0.1391,0.1645,0.1328,0.1169,0.1102,0.09,0.1254,0.1487,0.1027,0.1135,0.1019,0.1624,0.1809,0.1643,0.1686,0.1545,0.1014,0.1031,0.1068,0.1272,0.0813,0.0571,0.0651,0.0631,0.068,0.0752,0.0442,0.0429,0.0405,0.0302,0.0298,0.0313,0.0247,0.024
2,0.0261,0.0246,0.0159,0.019,0.017,0.014,0.0138,0.0138,0.0182,0.0134,0.0204,0.0151,0.0175,0.0241,0.0243,0.025,0.027,0.0147,0.0178,0.0145,0.0182,0.0217,0.0141,0.0221,0.0161,0.0162,0.0152,0.0185,0.0181,0.0408,0.0353,0.0502,0.0211,0.0176,0.0347,0.0941,0.1013,0.142,0.1572,0.1923,0.2104,0.1945,0.1976,0.2034,0.2194,0.1983,0.2324,0.197,0.1525,0.1565,0.1541,0.1508,0.167,0.1569,0.1008,0.0822,0.0761,0.0936,0.0933,0.1213,0.1058,0.1068,0.1103,0.1119,0.1294,0.1702,0.1915,0.2073,0.2019,0.1799,0.1557,0.1643,0.1794,0.156,0.1297,0.1462,0.1236,0.1365,0.165,0.0879,0.1081,0.0629,0.0833,0.0557,0.0591,0.0601,0.0563,0.055,0.0565,0.0429,0.0322,0.0206,0.0154,0.0176,0.0168,0.0226
3,0.0064,0.0066,0.0072,0.0101,0.0072,0.0069,0.0063,0.0063,0.0091,0.0063,0.0068,0.0063,0.0069,0.0097,0.0063,0.0063,0.0063,0.0063,0.0094,0.0063,0.008,0.0078,0.0063,0.0089,0.0063,0.0071,0.0063,0.0049,0.0085,0.0136,0.0121,0.0213,0.0121,0.0081,0.0133,0.0387,0.0374,0.0641,0.0866,0.1037,0.1164,0.1146,0.1041,0.1123,0.1008,0.1002,0.1139,0.0947,0.0794,0.0925,0.0885,0.0855,0.096,0.0949,0.0397,0.0347,0.0386,0.0432,0.0425,0.0424,0.042,0.0412,0.043,0.0446,0.0567,0.0723,0.0763,0.0865,0.0895,0.0719,0.0614,0.0593,0.0582,0.0563,0.0475,0.0529,0.0515,0.0548,0.0582,0.0289,0.0359,0.0311,0.0376,0.025,0.0288,0.0278,0.0275,0.0261,0.0291,0.0184,0.0184,0.0106,0.0067,0.0085,0.0079,0.0074
4,0.0143,0.0127,0.0035,0.0032,0.0046,0.002,0.0022,0.002,0.0037,0.002,0.0084,0.0034,0.0055,0.009,0.0129,0.0133,0.0152,0.0032,0.0032,0.0031,0.0045,0.0025,0.0025,0.0078,0.0045,0.0036,0.0036,0.0085,0.0041,0.0169,0.015,0.0207,0.0023,0.0033,0.0067,0.0299,0.0398,0.0348,0.037,0.0483,0.047,0.0418,0.042,0.0376,0.0568,0.0499,0.0621,0.0426,0.0413,0.0324,0.0362,0.0365,0.0309,0.0274,0.0303,0.0234,0.0173,0.0273,0.027,0.0469,0.03,0.0299,0.0265,0.0272,0.035,0.048,0.0588,0.0485,0.0502,0.0489,0.049,0.0596,0.0665,0.0542,0.0497,0.0425,0.0356,0.0396,0.0499,0.0266,0.0314,0.0091,0.0162,0.0079,0.0075,0.0076,0.0168,0.0182,0.0166,0.0135,0.0033,0.0046,0.0036,0.0035,0.0037,0.0101
5,0.0053,0.0053,0.0051,0.0056,0.0051,0.0051,0.0053,0.0054,0.0052,0.005,0.0051,0.0054,0.0051,0.0053,0.0051,0.0053,0.0054,0.0051,0.0052,0.005,0.0055,0.0113,0.0051,0.0053,0.0051,0.0054,0.0052,0.005,0.0054,0.0101,0.0082,0.0082,0.0066,0.0061,0.0147,0.0254,0.0241,0.043,0.0335,0.0402,0.0468,0.038,0.0514,0.0534,0.0617,0.0481,0.0564,0.0596,0.0317,0.0315,0.0294,0.0287,0.0401,0.0345,0.0306,0.024,0.0201,0.023,0.0238,0.0319,0.0337,0.0356,0.0407,0.0401,0.0376,0.0498,0.0564,0.0722,0.0621,0.059,0.0452,0.0452,0.0545,0.0454,0.0325,0.0507,0.0363,0.0421,0.0569,0.0323,0.0407,0.0226,0.0294,0.0227,0.0227,0.0245,0.0119,0.0106,0.0107,0.0109,0.0104,0.0053,0.005,0.0056,0.005,0.0051
6,0.0192,0.0147,0.0173,0.0209,0.0173,0.0271,0.0254,0.0248,0.03,0.0164,0.0153,0.0221,0.0169,0.0154,0.0176,0.0338,0.0145,0.0182,0.0146,0.0217,0.0233,0.0253,0.0245,0.0272,0.0148,0.0156,0.0155,0.0183,0.0131,0.0278,0.0269,0.0382,0.0349,0.0419,0.0361,0.0377,0.1024,0.1023,0.1185,0.1668,0.1638,0.1608,0.1793,0.1546,0.1682,0.1774,0.1497,0.1579,0.1441,0.143,0.1099,0.0931,0.124,0.0889,0.1069,0.1017,0.1079,0.1084,0.1021,0.1171,0.1136,0.1587,0.1362,0.1366,0.1322,0.133,0.1314,0.1759,0.1977,0.1806,0.2148,0.1694,0.1268,0.1336,0.1207,0.131,0.1046,0.1032,0.0986,0.129,0.1273,0.1153,0.0992,0.0769,0.0762,0.0431,0.043,0.0372,0.0378,0.0416,0.0453,0.0513,0.042,0.0429,0.0401,0.0395
7,0.0379,0.0268,0.0208,0.0159,0.018,0.0155,0.0147,0.015,0.0162,0.0184,0.0159,0.0159,0.024,0.0301,0.0269,0.0253,0.0198,0.0155,0.0158,0.0173,0.0159,0.0145,0.0143,0.0148,0.0168,0.0153,0.015,0.0239,0.0244,0.0404,0.0289,0.0301,0.0386,0.0453,0.0372,0.0366,0.0529,0.1082,0.1112,0.1182,0.1181,0.1199,0.0955,0.109,0.1299,0.117,0.123,0.1287,0.104,0.0911,0.1129,0.1106,0.119,0.1199,0.1171,0.0986,0.1107,0.0918,0.1312,0.1329,0.1811,0.1619,0.1762,0.1864,0.1682,0.1505,0.1688,0.1652,0.186,0.2104,0.2581,0.2154,0.2253,0.1739,0.162,0.1555,0.1291,0.1368,0.1189,0.1305,0.0872,0.1649,0.1478,0.1046,0.0962,0.0997,0.0721,0.0722,0.0359,0.0385,0.0557,0.0416,0.0466,0.036,0.0343,0.0361
8,0.0256,0.0264,0.0251,0.0432,0.0323,0.0282,0.017,0.0337,0.0157,0.0157,0.0154,0.0171,0.0159,0.0164,0.0145,0.0281,0.0358,0.0252,0.0379,0.0277,0.0274,0.0156,0.0281,0.0165,0.0283,0.0164,0.0295,0.0153,0.0274,0.0223,0.0407,0.0294,0.0378,0.036,0.044,0.076,0.0628,0.0843,0.0924,0.1581,0.1881,0.1982,0.2318,0.2246,0.2654,0.1946,0.2194,0.205,0.1799,0.1946,0.1214,0.1578,0.1401,0.1209,0.1104,0.1198,0.1197,0.144,0.1088,0.1175,0.1405,0.1833,0.1665,0.1405,0.1596,0.1524,0.126,0.1605,0.1425,0.1378,0.1412,0.114,0.0888,0.1174,0.1003,0.1372,0.1513,0.1248,0.1322,0.1009,0.0838,0.0997,0.0623,0.0738,0.0531,0.0366,0.0366,0.0348,0.0343,0.0223,0.0337,0.0207,0.028,0.0151,0.0388,0.0255
9,0.0295,0.0146,0.0151,0.0155,0.0171,0.0297,0.0163,0.0278,0.0149,0.0169,0.0174,0.0157,0.0404,0.026,0.0385,0.0179,0.0201,0.0151,0.0156,0.0294,0.0189,0.0298,0.0157,0.0152,0.0208,0.0267,0.0381,0.026,0.0437,0.0295,0.0445,0.042,0.0581,0.0387,0.0397,0.0508,0.0394,0.1076,0.1315,0.1646,0.1853,0.1535,0.1963,0.1771,0.1101,0.1453,0.1419,0.1552,0.138,0.1403,0.1126,0.067,0.1017,0.1029,0.1289,0.1397,0.1399,0.127,0.1155,0.1507,0.1605,0.1466,0.1476,0.1003,0.1305,0.1346,0.1849,0.1821,0.1477,0.1523,0.1345,0.1172,0.1111,0.1303,0.0984,0.0892,0.0865,0.0733,0.0754,0.0688,0.0717,0.0617,0.055,0.0531,0.0512,0.0474,0.0345,0.034,0.0402,0.0343,0.0385,0.035,0.0249,0.0257,0.0251,0.0273
